pmid,student_model,judge_model,faithfulness_score,correctness_score,rougeL_f1_baseline
9582182,llama,gpt-4o,1.0,0.3625650653753972,0.08029197080291971
9582182,gemma,gpt-4o,0.8888888888888888,0.2979581500092782,0.09478672985781991
17502203,gpt4o,gpt-4o,1.0,0.8022474620096357,0.10441767068273092
17502203,claude,gpt-4o,1.0,0.71860019733975,0.07361963190184048
17502203,gemini,gpt-4o,1.0,0.8162109825845778,0.10033444816053512
17502203,llama,gpt-4o,0.9411764705882352,0.6998547239528732,0.09729729729729729
17502203,gemma,gpt-4o,0.7777777777777778,0.770601970671309,0.12745098039215688
17276182,gpt4o,gpt-4o,1.0,0.8472755058389991,0.1307901907356948
17276182,claude,gpt-4o,1.0,0.87311886447296,0.11678832116788321
17276182,gemini,gpt-4o,1.0,0.8935146658806584,0.12556053811659193
17276182,llama,gpt-4o,1.0,0.5315469037409529,0.10199556541019957
17276182,gemma,gpt-4o,1.0,0.6594890433127839,0.13513513513513514
18783922,gpt4o,gpt-4o,1.0,0.3319203973270346,0.04664723032069971
18783922,claude,gpt-4o,1.0,0.2666024477787128,0.045685279187817264
18783922,gemini,gpt-4o,1.0,0.3475767341776975,0.05202312138728324
18783922,llama,gpt-4o,0.9,0.2978521591210928,0.06153846153846155
18783922,gemma,gpt-4o,0.9,0.2043375349501645,0.05357142857142857
23389866,gpt4o,gpt-4o,1.0,0.2693830661206374,0.07339449541284403
23389866,claude,gpt-4o,0.875,0.4263444006136312,0.09248554913294797
23389866,gemini,gpt-4o,0.9444444444444444,0.4595449071051359,0.06818181818181819
23389866,llama,gpt-4o,0.75,0.309005267772597,0.07162534435261708
23389866,gemma,gpt-4o,0.7692307692307693,0.3112984031029961,0.07761194029850747
19409117,gpt4o,gpt-4o,0.875,0.4704197347070981,0.08727272727272727
19409117,claude,gpt-4o,1.0,0.4178365659594674,0.06825938566552901
19409117,gemini,gpt-4o,1.0,0.6198175342523948,0.08208955223880597
19409117,llama,gpt-4o,0.8888888888888888,0.5606962472619513,0.11162790697674418
19409117,gemma,gpt-4o,0.8571428571428571,0.4417325966230138,0.10055865921787709
27040842,gpt4o,gpt-4o,1.0,0.7945867548500932,0.13333333333333333
27040842,claude,gpt-4o,1.0,0.8418202528100938,0.08058608058608059
27040842,gemini,gpt-4o,1.0,0.8709590431902375,0.147239263803681
27040842,llama,gpt-4o,1.0,0.7172807352002806,0.11811023622047244
27040842,gemma,gpt-4o,0.8333333333333334,0.3833177641945148,0.11398963730569948
22955530,gpt4o,gpt-4o,1.0,0.7326430882074669,0.1513157894736842
22955530,claude,gpt-4o,0.9090909090909092,0.6659869374817766,0.125
22955530,gemini,gpt-4o,0.6666666666666666,0.6313312384795732,0.1673003802281369
22955530,llama,gpt-4o,0.8888888888888888,0.6118162392550794,0.15976331360946747
22955530,gemma,gpt-4o,1.0,0.6608629999361828,0.16788321167883213
25957366,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.7142857142857143,0.5,0.10614525139664804
25957366,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.6875,0.6,0.10396039603960396
25957366,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9285714285714286,0.5,0.11602209944751382
25957366,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8,0.6,0.1375
25957366,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.13284132841328414
11838307,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.05263157894736842
11838307,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,1.0,0.0901639344262295
11838307,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.875,0.5,0.08791208791208792
11838307,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9333333333333333,0.5,0.06896551724137931
11838307,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.7142857142857143,0.6,0.11764705882352942
22513023,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.12432432432432433
22513023,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.13293051359516614
22513023,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.13372093023255813
22513023,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.15757575757575756
22513023,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8888888888888888,0.4,0.16597510373443983
14713788,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.09374999999999999
14713788,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.10847457627118644
14713788,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.10606060606060606
14713788,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.09923664122137404
14713788,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.17297297297297298
10158597,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.0830188679245283
10158597,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.0723684210526316
10158597,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.875,0.6,0.12631578947368421
10158597,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9090909090909091,0.6,0.0898876404494382
10158597,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.13043478260869565
25588461,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.0975609756097561
25588461,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.8,0.07017543859649122
25588461,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.1,0.07627118644067796
25588461,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.07482993197278912
25588461,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9,0.3,0.08737864077669902
27581329,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.11971830985915492
27581329,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.07339449541284404
27581329,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.09523809523809523
27581329,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.09359605911330049
27581329,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.1094890510948905
21889895,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9230769230769231,0.5,0.10714285714285714
21889895,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.1005586592178771
21889895,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.13821138211382114
21889895,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.11396011396011398
21889895,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9,0.1,0.10038610038610038
23587089,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.199288256227758
23587089,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.14838709677419354
23587089,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.12095032397408208
23587089,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.13934426229508198
23587089,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8888888888888888,0.2,0.19246861924686195
8375607,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.21305841924398625
8375607,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.8,0.19636363636363638
8375607,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9,0.7,0.25925925925925924
8375607,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9230769230769231,0.6,0.1935483870967742
8375607,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.2647058823529412
25228241,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.18473895582329317
25228241,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.10439560439560439
25228241,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.13440860215053765
25228241,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.17006802721088438
25228241,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9090909090909091,0.5,0.15841584158415842
15050326,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9090909090909091,0.6,0.1643835616438356
15050326,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.13793103448275862
15050326,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.1764705882352941
15050326,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.5,0.1280353200883002
15050326,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.17605633802816903
25417760,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.12669683257918551
25417760,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.10389610389610389
25417760,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.10434782608695652
25417760,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8461538461538461,0.4,0.08899297423887587
25417760,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.5,0.1,0.12048192771084337
18251357,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.2,0.09322033898305083
18251357,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.06741573033707865
18251357,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.10989010989010989
18251357,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.08256880733944955
18251357,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.3,0.10843373493975905
17032327,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.13675213675213677
17032327,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9444444444444444,0.9,0.05755395683453237
17032327,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.10666666666666665
17032327,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.9,0.1212121212121212
17032327,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9,0.9,0.11607142857142859
17483607,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9166666666666666,0.7,0.13333333333333336
17483607,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.9285714285714286,0.7,0.08955223880597014
17483607,gemini,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.4,0.09677419354838711
17483607,llama,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.09885931558935361
17483607,gemma,<anthropic.Anthropic object at 0x7fcf00eadeb0>,0.8,0.3,0.12571428571428572
22154448,gpt4o,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.7,0.141643059490085
22154448,claude,<anthropic.Anthropic object at 0x7fcf00eadeb0>,1.0,0.6,0.11167512690355329
